2018-05-03 10:54:18 INFO  Utils:60 - Test
2018-05-03 10:54:30 INFO  Utils:107 - https://pp2.ruinart.com/fr-e
2018-05-03 10:54:32 INFO  Utils:60 - Test
2018-05-03 10:54:32 INFO  Utils:64 - Location field is present
2018-05-03 10:54:32 INFO  Utils:66 - DateBirth field is present
2018-05-03 10:54:34 INFO  AgeGatePage:94 - Test 21
2018-05-03 10:54:34 INFO  AgeGatePage:96 - Total responses = 0
2018-05-03 10:54:34 INFO  AgeGatePage:109 - Test 22
2018-05-03 10:54:34 INFO  AgeGatePage:111 - Total responses = 104
2018-05-03 10:56:13 INFO  Utils:107 - https://pp2.ruinart.com/fr-e
2018-05-03 10:56:15 INFO  Utils:60 - Test
2018-05-03 10:56:15 INFO  Utils:64 - Location field is present
2018-05-03 10:56:15 INFO  Utils:66 - DateBirth field is present
2018-05-03 10:56:17 INFO  AgeGatePage:94 - Test 21
2018-05-03 10:56:17 INFO  AgeGatePage:96 - Total responses = 0
2018-05-03 10:56:58 INFO  Utils:107 - https://pp2.ruinart.com/fr-e
2018-05-03 10:57:00 INFO  Utils:60 - Test
2018-05-03 10:57:00 INFO  Utils:64 - Location field is present
2018-05-03 10:57:00 INFO  Utils:66 - DateBirth field is present
2018-05-03 10:57:02 INFO  AgeGatePage:94 - Test 21
2018-05-03 10:57:02 INFO  AgeGatePage:96 - Total responses = 191
2018-05-03 10:57:02 INFO  AgeGatePage:103 - 
2018-05-03 10:57:02 INFO  AgeGatePage:103 - 
2018-05-03 10:57:02 INFO  AgeGatePage:103 - 
2018-05-03 10:57:02 INFO  AgeGatePage:103 - 
2018-05-03 10:57:02 INFO  AgeGatePage:103 - 
2018-05-03 10:57:02 INFO  AgeGatePage:103 - 
2018-05-03 10:57:02 INFO  AgeGatePage:103 - 
2018-05-03 10:57:02 INFO  AgeGatePage:103 - 
2018-05-03 10:57:02 INFO  AgeGatePage:103 - 
2018-05-03 10:57:02 INFO  AgeGatePage:103 - 
2018-05-03 10:57:02 INFO  AgeGatePage:103 - 
2018-05-03 10:57:02 INFO  AgeGatePage:103 - 
2018-05-03 10:57:02 INFO  AgeGatePage:103 - 
2018-05-03 10:57:02 INFO  AgeGatePage:103 - 
2018-05-03 10:57:02 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
2018-05-03 10:57:03 INFO  AgeGatePage:103 - 
